term,language,definition,categories,target
moke,English,In Hawaii an uneducated lower class and/or ethnic Polynesian person. In Ireland a disreputable or lower class person.,Ethnicity,
mokes,English,In Hawaii an uneducated lower class and/or ethnic Polynesian person. In Ireland a disreputable or lower class person.,Ethnicity,
mokies,English,A Jewish person (first used in the 1930s).,Ethnicity,
mokkel,Dutch,Slut A fat woman An attractive woman,Gender,Female
mokkels,Dutch,Slut A fat woman An attractive woman,Gender,Female
mokkeltje,Dutch,Slut A fat woman An attractive woman,Gender,Female
moky,English,A Jewish person (first used in the 1930s).,Ethnicity,
mollo,Spanish,A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin,Ethnicity,
mong,English,A disabled person from mongoloid.,Disability,
mongo,Swedish,Mentally deficient from mongolism,Disability,
mongol,English,Disabled East-Central Asian ethnic group native to Mongolia,Disability,
mongolen,Dutch,Mongoloid,Disability,
mongolo,Spanish,SPanishItalianDerogatory term for a mentally disabled person,Disability,
mongoloid,English,A person with Down syndrome An indigenous person from Asia Polynesia or the Americas.,Ethnicity,Asian
mongoloide,Portuguese,PortugueseItalian Mongoloid,Disability,
mongoloides,Portuguese,Mongoloid,Disability,
mongoloidi,Italian,PortugueseItalian Mongoloid,Disability,
mongoloids,English,A person with Down syndrome An indigenous person from Asia Polynesia or the Americas.,Ethnicity,Asian
mongols,English,Disabled East-Central Asian ethnic group native to Mongolia,Disability,
mongool,Dutch,Mongoloid,Disability,
mongooltje,Dutch,Mongoloid,Disability,
mongrel,English,A term used against non-white; ethnic groups but on 4chans /pol/ is associated with muslims.,Ethnicity,African American
mongs,English,A disabled person from mongoloid.,Disability,
monhé,Portuguese,Commonly used for people from India; someone of black and arabic mix,Nationality,India
monkey,English,A black person. A primate,Ethnicity,
monkeys,English,A black person. A primate,Ethnicity,
monser,Turkish,Derogatory word for members of Turkish modern society. Mostly used to insult well educated and elegant people.,Nationality,Turkey
mook,English,An Italian-American An African-American An incompetent person,Nationality,Italy
mooks,English,An Italian-American An African-American An incompetent person,Nationality,Italy
mooley,Italian,Italian word for a black person from melanzane (meaning eggplant).,Ethnicity,
mooliachi,Italian,Italian word for a black person from melanzane (meaning eggplant).,Ethnicity,
moolie,Italian,Italian word for a black person from melanzane (meaning eggplant).,Ethnicity,
moolinyan,English,Alternative of moolie,Ethnicity,African American
moon cricket,English,A black person,Ethnicity,
moon crickets,English,A black person,Ethnicity,
Moor,English,A black person from the black Muslims which invaded Europe during the Middle Ages. 1 Uncultivated land 2 Muslim inhabitants of the Maghreb the Iberian Peninsula Sicily Sardinia Corsica and Malta during the Middle Ages,Ethnicity,
Moors,English,A black person from the black Muslims which invaded Europe during the Middle Ages. 1 Uncultivated land 2 Muslim inhabitants of the Maghreb the Iberian Peninsula Sicily Sardinia Corsica and Malta during the Middle Ages,Ethnicity,
mooslim,1,Used as a racist and Islamophobic trope against Muslims (especailly ones from non Europe-North American countries),Religion,Islam
MooSlime,1,Used as a racist and Islamophobic trope against Muslims (especailly ones from non Europe-North American countries),Religion,Islam
mooslims,1,Used as a racist and Islamophobic trope against Muslims (especailly ones from non Europe-North American countries),Religion,Islam
moreno,Spanish,A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin,Ethnicity,
moro,Spanish,An Arab,Nationality,
moromierda,Spanish,Pejorative term for someone of Arab or Middle Eastern descent,Ethnicity,Arabs
moromierdas,Spanish,Pejorative term for someone of Arab or Middle Eastern descent,Ethnicity,Arabs
moss eater,English,Pacific Northwest term for poor or disenfrancised white people.,Ethnicity,
moss eaters,English,Pacific Northwest term for poor or disenfrancised white people.,Ethnicity,
mosshead,English,A black person.,Ethnicity,
mossheads,English,A black person.,Ethnicity,
moulie,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
moulies,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
moulignon,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
moulignons,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
moulinyan,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
moulinyans,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
mout kalar,Burmese,,Ethnicity,Rohingya
moxies,English,A Jewish person (first used in the 1930s).,Ethnicity,
moxy,English,A Jewish person (first used in the 1930s).,Ethnicity,
MTN,English,A Dinka or of South Sudan ancestry from the telecommunications network which is ubiquitous in Africa 1 South African telecommunications company 2 Timezone,Ethnicity,Dinka
MTNs,English,A Dinka or of South Sudan ancestry from the telecommunications network which is ubiquitous in Africa 1 South African telecommunications company 2 Timezone,Ethnicity,Dinka
Muchel,German,A person of North African descent typically male,Ethnicity,African
Muchels,German,A person of North African descent typically male,Ethnicity,African
mud duck,English,White supremacist term for a black person.,Ethnicity,
mud ducks,English,White supremacist term for a black person.,Ethnicity,
mud person,English,White supremacist term for a black person.,Ethnicity,
mud persons,English,White supremacist term for a black person.,Ethnicity,
mud shark,English,A Caucasian woman who dates a black man.,Ethnicity,
mud sharks,English,A Caucasian woman who dates a black man.,Ethnicity,
mudblood,English,A term that is in general hateful to non-whites but used against muslims on networks like 4chans /pol/.,Religion,Islam
mudshit,English,A hateful pejorative used against ethnicities and people of color and especially on 4chans /pol/ Often used against muslims .,Religion,Islam
mudslime,English,Used as a racist and Islamophobic trope against Muslims (especailly ones from non Europe-North American countries),Religion,Islam
mudugudugu,Ganda,Originally used by southern ethnic Ugandans (Baganda Basoga etc) to describe soldiers who were considered rough and believed to be mostly from the north in the period 1960-1990s. The term has generally been extended to all luo and nilotic people (most of whom come from the north and east of Uganda) and is used in an abusive context,Nationality,
muist,Romanian,A homosexual,Sexual Orientation,Homosexual
muistă,Romanian,A homosexual,Sexual Orientation,Homosexual
muiști,Romanian,A homosexual,Sexual Orientation,Homosexual
muiștii,Romanian,A homosexual,Sexual Orientation,Homosexual
muiștilor,Romanian,A homosexual,Sexual Orientation,Homosexual
muistul,Romanian,A homosexual,Sexual Orientation,Homosexual
muistule,Romanian,A homosexual,Sexual Orientation,Homosexual
muistului,Romanian,A homosexual,Sexual Orientation,Homosexual
mujerzuela,Spanish,Equivalent of slut,Gender,Female
mujerzuelas,Spanish,Equivalent of slut,Gender,Female
muk,English,An Alaskan. An Inuit.,Ethnicity,Inuit
muks,English,An Alaskan. An Inuit.,Ethnicity,Inuit
muktuk,English,An Alaskan. An Inuit.,Ethnicity,Inuit
muktuks,English,An Alaskan. An Inuit.,Ethnicity,Inuit
mulata,Portuguese,A woman descendent of Black and White peolple. Mestizo. An animal female born from the cross between horses and donkey. Sterile.,Ethnicity,African American
mulato,English,Born of a Caucasian parent and a black parent.,Ethnicity,
mulatto,English,A person of mixed white and black ancestry,Ethnicity,African
mulherzinha,Portuguese,An effeminate man,Sexual Orientation,Homosexual
mulherzinhas,Portuguese,An effeminate man,Sexual Orientation,Homosexual
mulignan,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
mulignans,English,A black person used by Italians in US. It is a corruption of melanzane the Italian word for eggplant.,Ethnicity,
Mulla,Hindi,Calling all Muslims Mulla and giving bad words. Usually used in a derogatory sense. Muslim Cleric,Religion,Islam
mullatoes,English,A person of mixed white and black ancestry,Ethnicity,African
mulsim,1,Hateful term used against muslims. sometimes as a code word.,Religion,Islam
mulungu,Zulu,,Ethnicity,European
mulungus,Zulu,,Ethnicity,European
munafik,Indonesian,to refer to muslim that being accused of infidelity,Religion,Islam
mung,English,Pronunciation of hmong the Vietnamese people which were relocated to the United States during and after the Vietnam War.,Nationality,Vietnam
mungs,English,Pronunciation of hmong the Vietnamese people which were relocated to the United States during and after the Vietnam War.,Nationality,Vietnam
munt,English,Among whites in South Africa Zimbabwe and Zambia denotes a black person. Derives from muntu the singular Bantu word for person. In the UK the word means ugly person especially ugly woman.,Ethnicity,
munter,English,Among whites in South Africa Zimbabwe and Zambia denotes a black person. Derives from muntu the singular Bantu word for person. In the UK the word means ugly person especially ugly woman.,Ethnicity,
munters,English,Among whites in South Africa Zimbabwe and Zambia denotes a black person. Derives from muntu the singular Bantu word for person. In the UK the word means ugly person especially ugly woman.,Ethnicity,
munts,English,Among whites in South Africa Zimbabwe and Zambia denotes a black person. Derives from muntu the singular Bantu word for person. In the UK the word means ugly person especially ugly woman.,Ethnicity,
muonyjang,Dinka,Dinka of the South Sudan ethnic group,Ethnicity,Dinka
murungu,Shona,An English person.,,
musla,English,Perjorative diminuitive of Muslim,Religion,Islam
muslamic,English,Derogatory portmanteau of Muslim and Islamic,Religion,Islam
muslim,Polish,A Muslim derogatory in Polish where the non-derogatory form is muzułmanin A Muslim non-derogatory in English,Religion,Islam
Muslim Kaaka,Tamil,Muslim,Religion,Islam
muslima,Polish,,Religion,Islam
muslimal,English,Derogatory portmanteau of Muslim and animal,Religion,Islam
muslimette,English,Derogatory term for Muslim woman,Religion,Islam
muslimic,English,Dismissive or incorrect term for Islamic practices Can be used in non-hateful context out of ignorance language barriers,Ethnicity,Arabs
muslimów,Polish,,Religion,Islam
muslimowie,Polish,,Religion,Islam
muslimy,Polish,,Religion,Islam
mussie,English,A Muslim,Religion,Islam
mussies,English,,Religion,Islam
mustalainen,Finnish,The Finnish Kale a Romani population primarily in Finland and Sweden derived from Finnish word for Black. Nowadays can be considered offensive with Romani the more respectful term.,Ethnicity,Romani
mustalaiset,Finnish,Derived from the Finnish word for Black it is a word for the Finnish Kale - a group of the Romani people that lives primarily in Finland and Sweden. It is nowadays sometimes considered an offensive term and in common and official context romani is considered more appropriate.,Ethnicity,Romani
musungu,Bemba (Zambia),An English person.,Ethnicity,English
mutah,English,Slur that implies Muslims as children of immoral or bastard birth.rFrom Nikah mutah (pleasure marriage).,Religion,Islam
mutakuono,Finnish,Racial epithet used to describe people with dark skin,Ethnicity,African
mutakuonot,Finnish,Racial epithet used to describe people with dark skin,Ethnicity,African
muts,Dutch,A stupid or shallow woman,Gender,Female
mutt,English,A person of mixed heritage. A mixed breed dog,Ethnicity,
muttah,English,Slur that implies Muslims as children of immoral or bastard birth.rFrom Nikah mutah (pleasure marriage).,Religion,Islam
muttal,Tamil,An idiot,,
mutts,English,A person of mixed heritage. A mixed breed dog,Ethnicity,
muzrat,English,Derogatory portmanteau of Muslim and rat,Religion,Islam
muzrats,English,Derogatory portmanteau of Muslim and rat,Religion,Islam
